variable_id,class_id,semantic_folder,standardized_english_name,standard_unit,primary_retained_value_column,approved_value_range_note,q4_lane,q4_batch_construct_status,owner_approval_status,runtime_status_after_this_batch,candidate_hit_count,candidate_hit_tables,candidate_numericitems_hit_count,candidate_preferred_table_hit_count,top_candidate_itemids,top_candidate_labels,source_boundary_caveat,next_action,audit_rationale,queue_reason,public_card_path,source_item_hits_file
std_band_pct,class1_event_level_numeric,laboratory,Band percentage event,percent,std_band_pct_percent_cleaned,"[0.0, 100.0] percent",Q4C_class1_long_tail_numeric_dictionary_candidate,source_candidate_package_built_not_runtime_item_lock_needed,not_owner_approved,not_runtime_constructed,13,numericitems:4;procedureorderitems:6;processitems:3,4,4,14352;14354;14364;14365;19889;9488;12688;9601;19888;9489,numericitems:14352:Mpro-Band1 (bloed) | numericitems:14354:Mpro-Band2 (bloed) | numericitems:14364:Mpro-Band1 (urine) | numericitems:14365:Mpro-band1 (verz. urine) | procedureorderitems:19889:TR-band controle,"Numericitems source candidates were built; itemids, source units, conversion rules, and specimen boundaries still need variable-level review before runtime construction.","lock retained itemids, source units, conversion factor, duplicate rule, cleaned range, then generate per-variable runtime candidate","Amsterdam dictionary has candidate numeric items, but this long-tail variable needs item-level review.",Source evidence exists but needs bounded source review before approval.,docs/std_variable_cards/std_band_pct.md,docs/standard_system_mvp/amsterdam_coverage_audit/amsterdam_q4_bounded_candidate_source_item_hits.csv
std_band_pct_ascites,class1_event_level_numeric,laboratory,Ascites band percentage event,%,std_band_pct_ascites_pct_cleaned,"[0.0, 100.0] %",Q4A_class1_specimen_or_body_fluid_numeric_candidate,source_candidate_package_built_not_runtime_modifier_gap,not_owner_approved,not_runtime_constructed,13,numericitems:4;procedureorderitems:6;processitems:3,4,4,14352;14354;14364;14365;19889;9488;12688;9601;19888;9489,numericitems:14352:Mpro-Band1 (bloed) | numericitems:14354:Mpro-Band2 (bloed) | numericitems:14364:Mpro-Band1 (urine) | numericitems:14365:Mpro-band1 (verz. urine) | procedureorderitems:19889:TR-band controle,"Numericitems candidates exist, but the modifier or specimen boundary is not proven by the current alias scan.","lock retained itemids, source units, conversion factor, duplicate rule, cleaned range, then generate per-variable runtime candidate","Dictionary evidence exists, but specimen/body-fluid identity needs item-level source review before approval.",Source evidence exists but needs bounded source review before approval.,docs/std_variable_cards/std_band_pct_ascites.md,docs/standard_system_mvp/amsterdam_coverage_audit/amsterdam_q4_bounded_candidate_source_item_hits.csv
std_band_pct_csf,class1_event_level_numeric,laboratory,CSF band percentage event,%,std_band_pct_csf_pct_cleaned,"[0.0, 100.0] %",Q4A_class1_specimen_or_body_fluid_numeric_candidate,source_candidate_package_built_not_runtime_modifier_gap,not_owner_approved,not_runtime_constructed,13,numericitems:4;procedureorderitems:6;processitems:3,4,4,14352;14354;14364;14365;19889;9488;12688;9601;19888;9489,numericitems:14352:Mpro-Band1 (bloed) | numericitems:14354:Mpro-Band2 (bloed) | numericitems:14364:Mpro-Band1 (urine) | numericitems:14365:Mpro-band1 (verz. urine) | procedureorderitems:19889:TR-band controle,"Numericitems candidates exist, but the modifier or specimen boundary is not proven by the current alias scan.","lock retained itemids, source units, conversion factor, duplicate rule, cleaned range, then generate per-variable runtime candidate","Dictionary evidence exists, but specimen/body-fluid identity needs item-level source review before approval.",Source evidence exists but needs bounded source review before approval.,docs/std_variable_cards/std_band_pct_csf.md,docs/standard_system_mvp/amsterdam_coverage_audit/amsterdam_q4_bounded_candidate_source_item_hits.csv
std_band_pct_joint_fluid,class1_event_level_numeric,laboratory,Joint fluid band percentage event,%,std_band_pct_joint_fluid_pct_cleaned,"[0.0, 100.0] %",Q4A_class1_specimen_or_body_fluid_numeric_candidate,source_candidate_package_built_not_runtime_modifier_gap,not_owner_approved,not_runtime_constructed,13,numericitems:4;procedureorderitems:6;processitems:3,4,4,14352;14354;14364;14365;19889;9488;12688;9601;19888;9489,numericitems:14352:Mpro-Band1 (bloed) | numericitems:14354:Mpro-Band2 (bloed) | numericitems:14364:Mpro-Band1 (urine) | numericitems:14365:Mpro-band1 (verz. urine) | procedureorderitems:19889:TR-band controle,"Numericitems candidates exist, but the modifier or specimen boundary is not proven by the current alias scan.","lock retained itemids, source units, conversion factor, duplicate rule, cleaned range, then generate per-variable runtime candidate","Dictionary evidence exists, but specimen/body-fluid identity needs item-level source review before approval.",Source evidence exists but needs bounded source review before approval.,docs/std_variable_cards/std_band_pct_joint_fluid.md,docs/standard_system_mvp/amsterdam_coverage_audit/amsterdam_q4_bounded_candidate_source_item_hits.csv
std_band_pct_other_body_fluid,class1_event_level_numeric,laboratory,Other body fluid band percentage event,%,std_band_pct_other_body_fluid_pct_cleaned,"[0.0, 100.0] %",Q4A_class1_specimen_or_body_fluid_numeric_candidate,source_candidate_package_built_not_runtime_modifier_gap,not_owner_approved,not_runtime_constructed,13,numericitems:4;procedureorderitems:6;processitems:3,4,4,14352;14354;14364;14365;19889;9488;12688;9601;19888;9489,numericitems:14352:Mpro-Band1 (bloed) | numericitems:14354:Mpro-Band2 (bloed) | numericitems:14364:Mpro-Band1 (urine) | numericitems:14365:Mpro-band1 (verz. urine) | procedureorderitems:19889:TR-band controle,"Numericitems candidates exist, but the modifier or specimen boundary is not proven by the current alias scan.","lock retained itemids, source units, conversion factor, duplicate rule, cleaned range, then generate per-variable runtime candidate","Dictionary evidence exists, but specimen/body-fluid identity needs item-level source review before approval.",Source evidence exists but needs bounded source review before approval.,docs/std_variable_cards/std_band_pct_other_body_fluid.md,docs/standard_system_mvp/amsterdam_coverage_audit/amsterdam_q4_bounded_candidate_source_item_hits.csv
std_band_pct_pleural,class1_event_level_numeric,laboratory,Pleural band percentage event,%,std_band_pct_pleural_pct_cleaned,"[0.0, 100.0] %",Q4A_class1_specimen_or_body_fluid_numeric_candidate,source_candidate_package_built_not_runtime_modifier_gap,not_owner_approved,not_runtime_constructed,13,numericitems:4;procedureorderitems:6;processitems:3,4,4,14352;14354;14364;14365;19889;9488;12688;9601;19888;9489,numericitems:14352:Mpro-Band1 (bloed) | numericitems:14354:Mpro-Band2 (bloed) | numericitems:14364:Mpro-Band1 (urine) | numericitems:14365:Mpro-band1 (verz. urine) | procedureorderitems:19889:TR-band controle,"Numericitems candidates exist, but the modifier or specimen boundary is not proven by the current alias scan.","lock retained itemids, source units, conversion factor, duplicate rule, cleaned range, then generate per-variable runtime candidate","Dictionary evidence exists, but specimen/body-fluid identity needs item-level source review before approval.",Source evidence exists but needs bounded source review before approval.,docs/std_variable_cards/std_band_pct_pleural.md,docs/standard_system_mvp/amsterdam_coverage_audit/amsterdam_q4_bounded_candidate_source_item_hits.csv
std_bicarbonate,class1_event_level_numeric,laboratory,Bicarbonate event,mEq/L,std_bicarbonate_meq_per_l_cleaned,"[1.0, 60.0] mEq/L",Q4C_class1_long_tail_numeric_dictionary_candidate,source_candidate_package_built_not_runtime_manual_review_needed,not_owner_approved,not_runtime_constructed,4,drugitems:4,0,0,8998;7295;19932;8998,"drugitems:8998:Natriumbicarbonaat  8,4% | drugitems:7295:Natrium bicarbonaat 8,4 % | drugitems:19932:Natrium bicarbonaat 1.4% | drugitems:8998:Natriumbicarbonaat  8,4%","Candidate dictionary evidence was built, but this queue remains bounded pending manual source review.","lock retained itemids, source units, conversion factor, duplicate rule, cleaned range, then generate per-variable runtime candidate","Amsterdam dictionary has candidate numeric items, but this long-tail variable needs item-level review.",Source evidence exists but needs bounded source review before approval.,docs/std_variable_cards/std_bicarbonate.md,docs/standard_system_mvp/amsterdam_coverage_audit/amsterdam_q4_bounded_candidate_source_item_hits.csv
std_bicarbonate_other_body_fluid,class1_event_level_numeric,laboratory,Other body fluid bicarbonate event,mEq/L,std_bicarbonate_other_body_fluid_meq_per_l_cleaned,"[1.0, 150.0] mEq/L",Q4A_class1_specimen_or_body_fluid_numeric_candidate,source_candidate_package_built_not_runtime_manual_review_needed,not_owner_approved,not_runtime_constructed,4,drugitems:4,0,0,8998;7295;19932;8998,"drugitems:8998:Natriumbicarbonaat  8,4% | drugitems:7295:Natrium bicarbonaat 8,4 % | drugitems:19932:Natrium bicarbonaat 1.4% | drugitems:8998:Natriumbicarbonaat  8,4%","Candidate dictionary evidence was built, but this queue remains bounded pending manual source review.","lock retained itemids, source units, conversion factor, duplicate rule, cleaned range, then generate per-variable runtime candidate","Dictionary evidence exists, but specimen/body-fluid identity needs item-level source review before approval.",Source evidence exists but needs bounded source review before approval.,docs/std_variable_cards/std_bicarbonate_other_body_fluid.md,docs/standard_system_mvp/amsterdam_coverage_audit/amsterdam_q4_bounded_candidate_source_item_hits.csv
std_bicarbonate_stool,class1_event_level_numeric,laboratory,Stool bicarbonate event,mEq/L,std_bicarbonate_stool_meq_per_l_cleaned,"[1.0, 75.0] mEq/L",Q4A_class1_specimen_or_body_fluid_numeric_candidate,source_candidate_package_built_not_runtime_manual_review_needed,not_owner_approved,not_runtime_constructed,4,drugitems:4,0,0,8998;7295;19932;8998,"drugitems:8998:Natriumbicarbonaat  8,4% | drugitems:7295:Natrium bicarbonaat 8,4 % | drugitems:19932:Natrium bicarbonaat 1.4% | drugitems:8998:Natriumbicarbonaat  8,4%","Candidate dictionary evidence was built, but this queue remains bounded pending manual source review.","lock retained itemids, source units, conversion factor, duplicate rule, cleaned range, then generate per-variable runtime candidate","Dictionary evidence exists, but specimen/body-fluid identity needs item-level source review before approval.",Source evidence exists but needs bounded source review before approval.,docs/std_variable_cards/std_bicarbonate_stool.md,docs/standard_system_mvp/amsterdam_coverage_audit/amsterdam_q4_bounded_candidate_source_item_hits.csv
std_blast_pct,class1_event_level_numeric,laboratory,Blast percentage event,percent,std_blast_pct_percent_cleaned,"[0.0, 100.0] percent",Q4C_class1_long_tail_numeric_dictionary_candidate,source_candidate_package_built_not_runtime_item_lock_needed,not_owner_approved,not_runtime_constructed,7,numericitems:7,7,7,14335;11539;11716;11877;18503;17995;17996,numericitems:14335:Blasten abs (bloed) | numericitems:11539:Erythroblasten (bloed) | numericitems:11716:Blasten % (bloed) | numericitems:11877:Sideroblasten (bloed) | numericitems:18503:Ring Sideroblasten (beenmerg),"Numericitems source candidates were built; itemids, source units, conversion rules, and specimen boundaries still need variable-level review before runtime construction.","lock retained itemids, source units, conversion factor, duplicate rule, cleaned range, then generate per-variable runtime candidate","Amsterdam dictionary has candidate numeric items, but this long-tail variable needs item-level review.",Source evidence exists but needs bounded source review before approval.,docs/std_variable_cards/std_blast_pct.md,docs/standard_system_mvp/amsterdam_coverage_audit/amsterdam_q4_bounded_candidate_source_item_hits.csv
std_blast_pct_csf,class1_event_level_numeric,laboratory,CSF blast percentage event,%,std_blast_pct_csf_pct_cleaned,"[0.0, 100.0] %",Q4A_class1_specimen_or_body_fluid_numeric_candidate,source_candidate_package_built_not_runtime_modifier_gap,not_owner_approved,not_runtime_constructed,7,numericitems:7,7,7,14335;11539;11716;11877;18503;17995;17996,numericitems:14335:Blasten abs (bloed) | numericitems:11539:Erythroblasten (bloed) | numericitems:11716:Blasten % (bloed) | numericitems:11877:Sideroblasten (bloed) | numericitems:18503:Ring Sideroblasten (beenmerg),"Numericitems candidates exist, but the modifier or specimen boundary is not proven by the current alias scan.","lock retained itemids, source units, conversion factor, duplicate rule, cleaned range, then generate per-variable runtime candidate","Dictionary evidence exists, but specimen/body-fluid identity needs item-level source review before approval.",Source evidence exists but needs bounded source review before approval.,docs/std_variable_cards/std_blast_pct_csf.md,docs/standard_system_mvp/amsterdam_coverage_audit/amsterdam_q4_bounded_candidate_source_item_hits.csv
std_cd4_cd8_ratio,class1_event_level_numeric,laboratory,CD4 to CD8 ratio event,ratio,std_cd4_cd8_ratio_ratio_cleaned,"[0.0, 50.0] ratio",Q4B_class1_blood_gas_or_calculated_numeric_candidate,source_candidate_package_built_not_runtime_item_lock_needed,not_owner_approved,not_runtime_constructed,52,drugitems:2;freetextitems:1;listitems:17;numericitems:32,32,32,6709;12282;12279;12281;6707;14836;14849;14851;20079;20078,numericitems:6709:Saturatie (Monitor) | numericitems:12282:O2 concentratie (Set) | numericitems:12279:O2 concentratie | numericitems:12281:Piek druk | numericitems:6707:End tidal CO2 concentratie,"Numericitems source candidates were built; itemids, source units, conversion rules, and specimen boundaries still need variable-level review before runtime construction.","lock retained itemids, source units, conversion factor, duplicate rule, cleaned range, then generate per-variable runtime candidate","Amsterdam dictionary has candidate numeric items, but this long-tail variable needs item-level review.",Source evidence exists but needs bounded source review before approval.,docs/std_variable_cards/std_cd4_cd8_ratio.md,docs/standard_system_mvp/amsterdam_coverage_audit/amsterdam_q4_bounded_candidate_source_item_hits.csv
std_chloride_bg_whole_blood,class1_event_level_numeric,laboratory,Blood-gas whole-blood chloride event,mmol/L,std_chloride_bg_whole_blood_mmol_per_l_cleaned,"[50.0, 180.0] mmol/L",Q4A_class1_specimen_or_body_fluid_numeric_candidate,source_candidate_package_built_not_runtime_manual_review_needed,not_owner_approved,not_runtime_constructed,17,drugitems:17,0,0,9424;7291;9001;7293;8937;8006;8939;9001;9612;6933,"drugitems:9424:NaCL 0,9% spuit | drugitems:7291:NaCl 0,45%/Glucose 2,5% | drugitems:9001:Kaliumchloride (KCL) | drugitems:7293:NaCl 0,9 % | drugitems:8937:Drukzak","Candidate dictionary evidence was built, but this queue remains bounded pending manual source review.","lock retained itemids, source units, conversion factor, duplicate rule, cleaned range, then generate per-variable runtime candidate","Blood-gas source evidence exists, but the all-specimen/arterial/source-family rule must be locked.",Source evidence exists but needs bounded source review before approval.,docs/std_variable_cards/std_chloride_bg_whole_blood.md,docs/standard_system_mvp/amsterdam_coverage_audit/amsterdam_q4_bounded_candidate_source_item_hits.csv
std_chloride_stool,class1_event_level_numeric,laboratory,Stool chloride event,mEq/L,std_chloride_stool_meq_per_l_cleaned,"[1.0, 250.0] mEq/L",Q4A_class1_specimen_or_body_fluid_numeric_candidate,source_candidate_package_built_not_runtime_manual_review_needed,not_owner_approved,not_runtime_constructed,17,drugitems:17,0,0,9424;7291;9001;7293;8937;8006;8939;9001;9612;6933,"drugitems:9424:NaCL 0,9% spuit | drugitems:7291:NaCl 0,45%/Glucose 2,5% | drugitems:9001:Kaliumchloride (KCL) | drugitems:7293:NaCl 0,9 % | drugitems:8937:Drukzak","Candidate dictionary evidence was built, but this queue remains bounded pending manual source review.","lock retained itemids, source units, conversion factor, duplicate rule, cleaned range, then generate per-variable runtime candidate","Dictionary evidence exists, but specimen/body-fluid identity needs item-level source review before approval.",Source evidence exists but needs bounded source review before approval.,docs/std_variable_cards/std_chloride_stool.md,docs/standard_system_mvp/amsterdam_coverage_audit/amsterdam_q4_bounded_candidate_source_item_hits.csv
std_creatinine_ascites,class1_event_level_numeric,laboratory,Ascites creatinine event,mg/dL,std_creatinine_ascites_mg_per_dl_cleaned,"[0.0, 100.0] mg/dL",Q4A_class1_specimen_or_body_fluid_numeric_candidate,source_candidate_package_built_not_runtime_modifier_gap,not_owner_approved,not_runtime_constructed,3,numericitems:3,3,3,9941;6836;14216,numericitems:9941:Kreatinine (bloed) | numericitems:6836:Kreatinine | numericitems:14216:KREAT enzym. (bloed),"Numericitems candidates exist, but the modifier or specimen boundary is not proven by the current alias scan.","lock retained itemids, source units, conversion factor, duplicate rule, cleaned range, then generate per-variable runtime candidate","Dictionary evidence exists, but specimen/body-fluid identity needs item-level source review before approval.",Source evidence exists but needs bounded source review before approval.,docs/std_variable_cards/std_creatinine_ascites.md,docs/standard_system_mvp/amsterdam_coverage_audit/amsterdam_q4_bounded_candidate_source_item_hits.csv
std_creatinine_other_body_fluid,class1_event_level_numeric,laboratory,Other body fluid creatinine event,mg/dL,std_creatinine_other_body_fluid_mg_per_dl_cleaned,"[0.0, 200.0] mg/dL",Q4A_class1_specimen_or_body_fluid_numeric_candidate,source_candidate_package_built_not_runtime_modifier_gap,not_owner_approved,not_runtime_constructed,3,numericitems:3,3,3,9941;6836;14216,numericitems:9941:Kreatinine (bloed) | numericitems:6836:Kreatinine | numericitems:14216:KREAT enzym. (bloed),"Numericitems candidates exist, but the modifier or specimen boundary is not proven by the current alias scan.","lock retained itemids, source units, conversion factor, duplicate rule, cleaned range, then generate per-variable runtime candidate","Dictionary evidence exists, but specimen/body-fluid identity needs item-level source review before approval.",Source evidence exists but needs bounded source review before approval.,docs/std_variable_cards/std_creatinine_other_body_fluid.md,docs/standard_system_mvp/amsterdam_coverage_audit/amsterdam_q4_bounded_candidate_source_item_hits.csv
